序號,標題,網址,留言者名稱,留言內容,留言時間,贊成論點/其他想法,贊成數量,反對數量
M-109,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,jess,我覺得可以刪掉一些不必要的課，讓我們專注力集中在學科上，畢竟臺灣本來就是升學導向的制度。現在的情況就是看得出來教育部想讓我們有更多元的學習，但最後結果還不是看成績，所以導致了多元的科目老師也不想認真教，學生也不想學。倒不如刪掉，讓我們有更多休息時間。,2025-09-14 09:40:23,其他想法,1,0
M-147,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,,建議取消學習歷程這個東西想抄歐美的多元學習又抄不好,2025-09-14 10:39:18,其他想法,1,0
M-185,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,芭樂,刪除不必要的多元課程和人際關係，教學方式，課業壓力有什麼關係？明明就一堆複雜事物連鎖在一起卻只說出一個,2025-09-14 11:20:25,贊成論點,0,1
M-205,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,Mi,高中有過多無用課程，一些多元課程無法讓學生獲得真才實學，加上主科課程量過於龐大，準備小考就會花上不少心力，更何況課後要去補習的學子。充足的睡眠是生物生存之必須，而對於12~18歲的少年族群，睡眠必不可少。倘若無睡眠調劑，同儕、課業以及自身成長的壓力，無法被好好處理，容易產生各類心理疾病，尤其是在這身心急劇改變的敏感年紀。健康是人類從事各種活動之基本，維持我們的判斷、思辨能力，唸書則極大程度地仰賴大腦。犧牲睡眠，剝奪資訊在腦中歸檔、***清理的時間，實為捨本逐末，未見其明。,2025-09-14 12:01:28,其他想法,1,0
M-214,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,ChengChinHsia,"我是高一生，我反對。
我支持廢除多餘無意義的彈性課程，但是不代表應該將上課時間調整。
當初將這些彈性課程加入的時候，犧牲的是原先基礎學科的時間，現在如果要將彈性課程移除，應當要將基礎學科的時間還給他們。
在一零八課綱下東西，課本幾乎已經沒有甚麼重要內容了。數理化通刪；國語文文言文砍半；社會科去脈絡化，不把時間還給這些學科，還要把在校時間砍掉？
今年的我高一，我才剛從國中畢業。我知道國中的課是上不完的，是需要加課的，更因為教育部禁止早自習考試，有些科目甚至需要動用的課堂時間考試，課都來不及上了還考試？現在還要縮短上課時間？
並且提案內容中寫到廢除「多元課程」，我不太清楚您所謂多元課程為何意？如果是指課綱新增的彈性課程，那廢除它們我表極力支持。但是如果是指科技、藝術等四大領域，那我是絕對反對廢除他們的。學校的目的是基礎教育，或許在高中可以作為選修科目或減少學分，但是在國民中學階段我認為它們還是必修的基礎學科，貿然廢除並不妥當。
離譜。我支持維持8-16點的上課作息，也支持將無意義的彈性課砍掉，並堅決反對將上課時間縮至10-16。
這套提案根本未經思考，配套不足，論點無立場。何以讓人支持這項莫名的提案？望請諸位同學們或是任何人附議前，思考一下，一天六小時真的夠嗎？只調整上課時間真的能降低學生的壓力嗎？",2025-09-14 12:12:40,其他想法,2,0
M-215,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,翊惠🫐,我覺得這個方法很可以，我是位高中生，每天都要6點多起床，我已經算很好了，我們班甚至有住更遠的要5點就起床，來學校也是會昏昏欲睡，然後下課時間也很短只有10分鐘，且正課都排很滿，我認為台灣可以試試美式教育，早上9.10點來上課，下午就可以進行些社團活動，這樣就不會有人覺得來學校很痛苦，且也不會很憂鬱，而且好處是社團活動也可以發展多元興趣並不是只要升學，台灣的社團活動課真的很少，一學期不到10節，我希望這幾點台灣可以跟進美國的教育方式,2025-09-14 12:17:44,其他想法,3,0
M-225,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,嘿啊,"我們學生有受教權和健康權嗎？
連最基本的權利都能到現在還沒真正被保障與改革 台灣常被稱為 勞工島且上課時間是全球的前三名 台灣 科技與國際的競爭力有些許的進步 但內部社會 人口老化問題並沒有改善 已墊底。
新加坡 比台灣小約50倍 卻能衝上亞洲第一 「新加坡國立大學」希望你們參考新加坡成功的案例 
去年 我購買了 黃仁勳轉 這本書提到 李光耀（首任總理）認為新加坡經濟成功的兩項因素「多元文化兼容與空調」當人們在室內辦公時 需要空調 反觀台灣 連學生最基本的睡眠時間都可被忽略。
請各位多多關注 如果現在不改善 未來就是青少年要面臨的問題且也是我們現在的近況。",2025-09-14 12:38:01,其他想法,5,0
M-232,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,提個意見,"潛在問題

放學時間延後：若課程總量不減，10:00&ndash;16:00 開課會讓放學時間延後，社團、補習或家務時間被壓縮，學生晚上仍可能熬夜。

交通尖峰衝突：學生晚課與上班族尖峰疊合，公共交通和道路容易塞車。

課程排程困難：主科老師、教室安排及課程總量難以調整，整個排課系統可能被打亂。

睡眠改善不一定：真正影響睡眠的是生活習慣，例如熬夜玩遊戲或追劇，即使晚開課也可能依舊晚睡。

其他觀點

多數學生不喜歡上學：支持晚開課的人多是想多睡，但很多學生晚睡的原因並非課業。

教育價值：課程不只是實用知識，也提供多元選擇。少數喜歡的科目若被廢除，會剝奪學生的選擇權，*(課程存在的意義在於提供可能性，而非每個人都必須用得到。)

自律培養：自律不是立刻能教會的，環境可以幫助，但需長期累積與養成。",2025-09-14 12:47:33,贊成論點,1,1
M-241,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,國中生,個別國中也不同的壓力情況，但是我們國中補完習回到家，寫完功課看完書，至少已經是半夜1、2點，每天這樣都睡不過5小時。隔天還要去學校感覺身心俱疲，現在睡正常睡眠時間，反而更想睡覺了。但是我認為10點上課還是太誇張了，而且缺少多元課程，學生無法在五大科上課之間交替時間放鬆。,2025-09-14 13:09:10,其他想法,3,0
M-256,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,H3C,我也同意作者的觀點，與其排一大堆的不必要之多元課程，不如留給學生更多的自由時間，去發展他們的多元興趣。,2025-09-14 13:54:15,其他想法,3,0
M-263,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,S,"反正改成下午四點放學，家長還不是會安排學生去補習班，一樣補到很晚，依然很晚睡，然後假日還是被家長送去補習班，沒有自己的休閒娛樂，改不改哪有差！看過很多社會新聞，造成學生憂鬱、自殺，不僅僅只有霸凌、同儕之間的競爭，家長往往都是壓倒駱駝最後一根稻草的人。
一天只上短短幾個小時的課，老師也必須加速講課的時間才能達到進度，也未必能夠講的很細，學生可能還是要自己回家唸，真的覺得提出這個想法的人只會造成老師與學生的壓力。
多關懷學生、不要只是一昧的要他們唸書，讓他們能夠自由選擇、多元發展，這樣才能降低一些壓力吧。",2025-09-14 14:04:58,贊成論點,0,1
M-272,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,Ysh,我附議10.上學 可是你們有在看文字嗎 為什麼要全面刪除多元課程 這樣會更有壓力欸 正課變多了是在哈囉,2025-09-14 14:19:18,贊成論點,1,1
M-286,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,林逸,這絕對是要的，雖然附議內容的時間刪減太多⋯⋯但是希望至少可以減少，像我們某些家境沒這麼好的假日還要兼工讀，平日也補習到晚上九點十點，甚至要犧牲很多睡眠時間來完成課程作業，時間真的嚴重不足，像某些多元課程其實可以刪掉（完全學不到什麼），例如：閩南語，基本完全學不到什麼，而且有時候作業真的比主科還要麻煩😡，真的搞不懂創建這類課程的意義⋯⋯,2025-09-14 14:57:35,其他想法,1,0
M-289,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,我反對🙂,個人覺得沒必要，把多元課程刪掉是否意味著學校接下來只會上主科，而那些普遍大家覺得輕鬆、可以放鬆的科目都刪掉，不是會讓學生的壓力無處釋放嗎？只留主科意味著學生的壓力會更大，壓力更大輕生的幾率理論上也會隨之增加，跟原本的目的完全相反，所以我覺得真的沒必要。,2025-09-14 14:59:18,贊成論點,1,2
M-294,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,我,我覺得不能沒有多元課程,2025-09-14 15:03:37,其他想法,1,1
M-296,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,柚,認同 為了形式上的「多元學習」增加許多不必要的課程反而造成學生負擔 台灣畢竟還是升學導向的國家 讀書的同時還得負擔與學科無關的課業 只會增加學生困擾 去除這些徒具形式的課程 在正課時間就好好處理學科 減少在學校的時間讓學生放學能探索自己的興趣 參與社團才是重點 歐美國家也都是這樣,2025-09-14 15:08:24,其他想法,5,0
M-304,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,賀呵呵呵,把主科以外的課都刪一刪吧，自主學習、多元選修，學生不是超人，不可能每個人都十項全能。又要成績好又要什麼都會。累死,2025-09-14 15:19:15,其他想法,2,0
M-314,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,Y,升為高二生，我不同意，為什麼要刪除多元課程？我認為多元課程是學習中的休息站，每天國自英數社頭腦會炸，沒有其他課程上學有什麼有趣的地方？並不是每個家庭都有金錢培養專長。,2025-09-14 15:36:35,贊成論點,2,1
M-318,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,彭彭,"看到這個提案，作為大人的我們應該要如何思考？孩子們為什麼會有這些想法呢？你真的曾經靜下心好好想過，什麼樣的教育對孩子才是好的嗎？我認為孩子真正想訴求的，並不只是上課時數的問題，我們必須花更多時間聆聽孩子們的心聲，為什麼上課變成一件這麼痛苦的事情？為什麼會有這麼多自傷自殺事件？已經苦過來的大人，更應該成為孩子的傘，而不是撕爛他們的傘。
升學主義的教育制度，完完全全的抑制孩子多元發展的機會，學生整天只知道國英數自社，讀不來的還是得讀，把自己變成考試機器，從來沒有機會好好探索自己的天賦與興趣，出社會繼續當個上班機器，然後跟學生計較說上班比讀書辛苦一百倍，在那吵什麼？這就是我們走過來的，並且想要讓孩子繼續走的路嗎？
這麼多的附議，並不是單純在討論上課時數或心理問題而已，孩子們只是希望透過這個平台，讓聲音能傳出去，我也希望每一位家長要意識到，改變世界要從改變教育開始，而改變教育就是從家長開始，從今天起，每當孩子在抱怨課業抱怨生活時，多一點耐心、多問一句為什麼，你會慢慢看見他們的脆弱、勇氣、熱情、努力、憤怒、純真，這全都是你與孩子帶給世界最棒的禮物。
也跟學生們分享，我認為縮短上課時間是必須的，但方法並不是刪減所謂多餘的多元課程，而是讓教育達到真正的多元，但還有很長一段路要走，現在是因為考試制度就擺在那，你們才會認為那些多元課程是多餘的，但其實那些課對學科成績不好的孩子來說，是天大的救贖喔！",2025-09-14 15:40:44,其他想法,5,0
M-320,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,宏,"我身為高二的學生，對於這件事，我贊成課程在16：00結束，但我對上課時間延後至10:00強烈反對，所以我拒絕參加附議，以下為對提案中使用之文字、用詞與目的的疑問和我必需強烈反對此提案的理由：

一、疑問

1、何謂「非必要多元課程」？

2、上課時間僅六小時，是否要取消長達一小時以上的午餐和午休，以及縮減或取消下課時間？

二、反對的理由

1、依我之見，藝能科是讓學生們能接觸並初步探索自己興趣之管道，而不是讓幾乎所有學生的興趣都是打遊戲、滑社群、打遊戲、滑社群。

2、這些課程也是培養與訓練學生的美感和生活自理能力，使學生不會成為只有學科能力，毫無美感的空殼，也讓我們不會成為完全無法獨立生活，必須依靠他人的爸寶媽寶。

3、關於睡眠不足的問題，我認為延後上課的時間，反而會讓許多學生睡覺時間也跟著延後，不僅無法達成目的，反而會造成發育問題與身體過勞，也對增加學習效率毫無幫助。

4、關於憂鬱情緒增加與自傷自殘的問題，許多學生更大的焦慮來源是來自網路社群與人際關係，而最佳解決方法並不是減少上課時間，最佳的方法是我們應該精進校園的三級防護與完善學生心理輔導機制，同時培養多元興趣，建立學生的心靈寄託。

5、關於多元課程的部分，以目前而言確實尚有不足，但最佳的解決方法並不是取消，而是改變上課方式、採用多元教材與彈性評分方式，並使教學內容能與時勢潮流連結。

6、延後上課時間會使學生在上學前在外遊蕩，從而發生安全問題。

7、原本8:00左右的交通尖峰，將會因上學時間的延後產生尖峰時段延長

以上是我本人想表達的觀點與疑問，其實還有很多想提出的觀點和問題，只是我打字很慢，沒有一次全打出來，口頭描述會比較適合，可能我之後會有新的贊成或反對的觀點，或新的疑問，會再提出。

也歡迎各種意見，不論贊成與否的朋友們一起討論，也希望提案者能解惑我的疑問，謝謝",2025-09-14 15:45:21,贊成論點,11,2
M-324,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,阿,"以&quot;避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升&quot;為目的的前提下，我不認為更改上課時間是最好的解決辦法。
我認為主要導致學生睡眠不足的原因無非以下幾種
1. 下課後補習到很晚
2. 晚間熬夜讀書/打遊戲
3. 家庭因素
在這三種原因當中，除開第三種，前兩種個人認為是台灣教育制度的問題，也就是看重各科綜合成績，導致學生需要成為&quot;六邊形戰士&quot;的問題，而非單純刪除多元課程能解決的。
即使調整上課時間至10:00~16:00，還是有許多學生要花大把時間去補習，甚至上學時間減少也就意味著補習時間增加。
我的結論是，調整時間是好的，對於學生來說，有更多可以自我運用的時間可以多方面提升自己。
然而，此提案所要達成的目標我認為並不能藉由調整上課時間達成，因此我不支持此提案。",2025-09-14 15:51:40,贊成論點,7,3
M-325,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,zn,"比起其他課程 更應該改的是學科內容吧？像是讓學科跟藝能科的課程分配差不多 而藝能科可以包含更多多元選修或自主學習 讓學生根據興趣選擇課程 而不是課表上寫什麼上什麼 至於學科部分 我認為需要減少課綱內容(有興趣的可以再自己選修)以及課程堂數(但刪減程度比課綱少一點) 而不是要教的因為堂數不夠永遠教不完 導致多數學生只能去補習班完整再學一遍 浪費時間 回家沒時間做其他事 只好壓縮睡覺時間
這似乎不是單純「縮短上課時數」就能解決的事情?",2025-09-14 15:52:33,贊成論點,2,1
M-332,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,蚊,"要改的是教育方針不是教育時間，吸收知識都方式都很僵硬，寫一堆講義一堆作業，天天驗收驗不過罰你一堆東西，然後又常常被拿來比較，有些課業壓力確實不是普通學生應該承受的，這種被迫學習的成果也不是很有效，走出了學習的殿堂也沒有明確的興趣明確的目標，也缺少了自主學習的動機。
為什麼不改時間？其實教學內容都排的特別滿，方式沒先改改時間馬上就會亂套了，到時候注重成績的家長就會幫你排補習排的滿滿噹噹的，想想看有些補習班作業比學校多，驗收比學校嚴，你會更坐牢。
多元學習確實該減少，本來就很飽和的課表近幾年來又強調了一些多元學習的課程，成效並不是很好，特別是高中高職。
減少或移除不必要的多元學習課程讓普通科可以分攤一點壓力。
減少時間現在不適合，至少方針要改，以目前的科目來看，6小時包含午休的上時間是不夠上目前會考學測統測的內容的。",2025-09-14 16:05:05,贊成論點,0,1
M-333,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,Kyoo,與其上一堆沒什麼用的課程，不如把那些時間來讓學生多睡一點，整天說什麼多元學習，最後還不是要瘋狂拼升學。,2025-09-14 16:08:49,其他想法,5,0
M-345,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,尤金,我認為縮短上課時間是好的，畢竟現在上課時間有數據支持台灣上課時間是全球前幾長的，但是有三個面向我認為須多加考慮。首先，從時間來看，若依照提議所述施行10點上學，並非如文中所指所有人均有能力能夠獨自上學，是否有某些特殊例子或是家庭因素，且若10點上學，是否會依其他留言所述，因10點上學而成為熬夜理由。其次，以課程而論，縮短兩小時的上課時間大概需一個禮拜減少10節課程，因主要課程例如國英數等等因進度壓力及教學流程是不可能刪減的，所以刪減的必然是家政、資訊等多元課程，刪減後學生是否能忍受一整天均上主科，以及拋棄多元課程促進多元學習。最後，從因果說起，現代學生睡眠時數減少是否完全因為上課時間過長，若縮短上課時間，是否能真正改善文中所述問題，而非反而增加家長及學生負擔。因此，我仍持反對意見，立意雖好，但不夠完善，沒有有力證據支持減少上課時間就能改善上述問題。,2025-09-14 16:29:21,贊成論點,0,1
M-353,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,吳,"不同意，這樣講是不是規律作息更重要，不如把上課時間變成8-14點還比較可以接受，這才是該有的正常作息吧，
另外我覺得去掉多元課程可能損害那些平常沒辦法學到但對這些有興趣的人的權益，像以前我上過的多元課程像烹飪、科學、英文口說，我就覺得蠻有意義的還不用花錢
不如14點後改成多元課程時間，可以選擇是否參加多元課程",2025-09-14 16:43:48,贊成論點,0,2
M-358,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,女神大大,「全面移除非必要多元課程」可以改成自由參加就像選修這樣（？,2025-09-14 16:55:52,其他想法,0,0
M-359,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,顧妘溱,我是高中生，就讀土城某高中的理組實驗班，每天通勤往返土城約 2 小時（單程約一小時）。為了趕車我必須在早上 6:00 起床、6:30 以前出門，平日還要留校晚自習到 21:00 才回家，這樣的作息造成我長期睡眠不足，幾乎沒有一天能達到標準的 8 小時睡眠。 睡眠嚴重不足讓我白天上課時常打瞌睡、學習效率降低，也使情緒容易失控、對挫折的耐受度大幅下降，這反映出睡眠與壓力已經深刻影響我的心理健康。 我理解教育應兼顧多元發展，但現行安排使得像我這樣需長時間通勤、面臨高度課業壓力的學生無法負荷。為了保障學生的身心健康與學習品質，我強烈支持將非必要的多元課程移除，並檢討上課時段安排（例如避免過早上課或過長延時），以減少慢性睡眠剝奪的風險。請考量通勤族學生的實際情況，讓教育回到「讓學生能健康學習」的初衷。,2025-09-14 16:56:58,其他想法,0,0
