"序號",標題,網址,留言者名稱,留言內容,留言時間,贊成論點/其他想法,贊成數量,反對數量
M-14,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,你好,支持改成10.-16.00,2025-09-13 19:03:25,其他想法,536,80
M-15,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,1 ☆1→10,"我從7：30上到8：30
牢",2025-09-13 19:23:44,其他想法,42,7
M-16,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,,使用者已自行刪除留言,2025-09-13 19:56:58,其他想法,0,0
M-17,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,D,不知道現在學閩南語有什麼用，跟老一輩的講話又不一定要閩南語，而且英文都有翻譯了既然要發明翻譯，***嘛還要讓我們學英文啊，國語讓我們知道字怎麼寫跟意思就好為甚麼還要搞閱讀理解，數學都有計算機了，這是完全能取代正常人用的到範圍，真的不懂為什麼要強迫我們做毫無意義的事。,2025-09-13 20:23:07,贊成論點,5,9
M-18,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,朱承平,首先，我要先說一下，我是一名來自苗栗在新竹就讀的高中生，我很幸運我的父母親早上可以載我去上學，進入重點，國道一號是我上學經過交通最繁忙的路段，從頭份交流道開始塞車，學生、上班族、要外出辦事的人都擠在一起，就要花費人力在路口指揮交通，在交管人員辛苦的付出下，路口的秩序是有條不紊，但車流量大的問題還是沒有解決，有時候下雨短短不到500公尺的路程就要花上半個小時，我相信延後學生上學時間帶來的好處絕對不只是心理健康上的，也可以給其他上班族帶來更多方便,2025-09-13 20:27:51,其他想法,323,27
M-19,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,小芸,"反對有以下幾點，僅為個人想法不代表任何立場。
第一，文章中之論點有無實驗結果或專家分析等證據證明？論據不足的情況下很難有說服力。
第二，延後上課時間對於睡眠品質、學習效率及學生精神層面上並無直接影響，晚上課並不代表學生會早睡。
第三，多元學習的部分我認為還是需要存在，現在台灣的教育幾乎已經是訓練學生成為「考試機器」，倘若無其餘課程輔助，學生課業壓力只增不減。所謂要學生多方探索自我，卻還是將課業壓力一再壓在學生身上，這是自相矛盾。即使要改也應該是調整、刪減課綱之內容，國小至高中學的應是基礎知識與生活應用，過度的深入探討，甚至在考場上刻意刁難學生，只會更加偏離所謂國民教育。",2025-09-13 21:25:21,贊成論點,115,137
M-20,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,E,我覺得可以 可以實施美式教育看看,2025-09-13 21:42:19,其他想法,583,49
M-21,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,芮,整個制度都要大改，學科課程有很多沒有屁用、內容還多，浪費時間，應該再減少。多元學習當然比較好，現在的情況是學科的比重還是很大，導致多元學習成為負擔,2025-09-13 22:13:07,贊成論點,35,5
M-22,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,跨鬆,我也支持一下 我不想在6點起床了要炸了  拜託要我這麼早起去被老師罵爛陰陽的要死以為我想要嗎 然後再那邊說都是學生的問題,2025-09-13 22:25:57,其他想法,670,95
M-23,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,姜姜,其實對於一個國一生的我真的很累而且壓力很大,2025-09-13 22:35:22,其他想法,446,123
M-24,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,Yvonne,我是高中生學校要求7:30到校，我因為住得遠，再加上必須坐公車上下學，需要5:30就起床趕公車，回家也晚上7點多了，還要寫功課，睡覺時間也提早不了，真的造成身體很大的負擔，每天都睡不飽。,2025-09-13 23:08:40,其他想法,3,0
M-25,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,雨,我覺得不錯，現在台灣學生的課業壓力真的太大，充足的睡眠反而更重要畢竟健康是無價的，每個孩子也都是家長的心肝寶貝,2025-09-13 23:13:55,其他想法,460,39
M-26,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,Ys58521,身為學測牲覺得如果刪掉那些廢課的話應該可以勉強做到吧！讓我們好好睡覺吧！當然會有人還是晚睡，對於這些個體來說沒差，但對於真的會因為通勤睡眠時間太少的學生，這個政策會有很大幫助，對於這個政策而產生的時間該怎麼運用，這也是個分水嶺吧！,2025-09-13 23:34:10,其他想法,3,0
M-27,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,lu,看到下面很多人反對，覺得這件事不現實，但是我想說一下，其實在以前帝制國家沒有人相信人民是可以有權利選舉的，我的意思是在真的實施之後才能知道這個到底好不好，任何想法都是有好有壞的，當然也可以認為我的想法太理想，但是我真的覺得這個提議不錯，當然不可否認的是會有很多問題。108課綱當然在以前有好的地方，但是時代快速進步的同時，108課綱就會有問題了，早改早解決問題，太晚的話越拖越難一次改完教育制度將會需要更改是未來不可避免的。,2025-09-13 23:41:17,其他想法,48,2
M-28,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,,使用者已自行刪除留言,2025-09-13 23:41:39,其他想法,0,0
M-29,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,07,"我是一名新北市的高二學生，我知道這個提案過的機率不大，但還是想發表一下。我住在離學校通勤需要一個半小時以上的地方，因為高職科系問題所以選擇了這個學校，但過去學校非常的麻煩，有時候可能超過一個半小時，升旗則需要5:30起床。
上課真的很沒精神，很容易睡著。",2025-09-13 23:48:32,其他想法,3,0
M-30,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,不知名國中生,"我贊成 現在教育體制真的不把學生當人
我也是個國二生 但我發現 現在學生壓力也是挺大 至少對我來說啦。我知道 我沒有資格喊累 我的家庭很支持我的想法 不補習 自己顧好自己的成績。 但就算我不補習 每天也是累到不行。 說上課時間改到10點有些不切實際了 但我倒覺得9點剛剛好 不會太晚 也不用那麼早起。
  但說真的 有些同學真的有點太累了 尤其是會考生 甚至還有暑期輔導 休息的時間也所剩無幾了 平日每天6.起 10.回家 讀書讀到力竭這些真的是他們想要的嗎？我不覺得。這些只是升學壓力「逼迫」他們要這樣讀他們的生活真的很累 這些是我沒辦法體會 也是你們這些大人沒辦法體會的。
以上是一個普通國二生的看法 我支持你的想法！",2025-09-13 23:53:08,其他想法,27,5
M-31,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,LYX,"上面的時間可以改成9:30
那如果真的10:00去上兩節吃午餐
是要上什麼",2025-09-13 23:53:54,贊成論點,3,3
M-32,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,Jenny,因為距離的關係每天早上都要5：30起床 回到家都6點多了 7點又要去補習到9點 回家後還要寫功課跟複習真的很累 都沒什麼時間休息 睡覺7個小時都不到,2025-09-13 23:57:01,其他想法,50,4
M-33,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,瑋,我覺得這樣可以讓學生睡飽提升上課精神,2025-09-13 23:57:30,其他想法,39,7
M-34,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,yuting,因為早上搭校車的人至少六點就得起床而前一天晚上因為複習功課至少都是12點過後才睡的 這樣我們睡眠時間根本不足六小時⋯但卻又要我們從8點上課到下午4點足足9個小時 睡眠不足本就導致了我們專注力降低 學習效率也很差所以這部分我覺得需要改一下上學時間,2025-09-14 00:02:18,其他想法,2,0
M-35,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,Ken,永支,2025-09-14 00:02:44,其他想法,1,0
M-36,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,軒,真的支持 到底為什麼硬要把時間拉得這麼長 卻並沒有效用 簡直毫無意義⋯,2025-09-14 00:06:10,其他想法,62,5
M-37,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,9ay,"我本身是一位高中生，我認為這個提案的出發點是好的，但是如果要實行會有很大的困難。

首先如果一週要移除十節多元課程，先不說有沒有十節的「非必要」多元課程，依照台灣的風氣，可能會出現早上補習的現象。如果沒有補習，那學生們真的能好好利用這段時間嗎？你相信大部分的國高中生會利用自由時間去「自主學習」？而且有些事物如果沒有學校這個媒介，學生一輩子都不會接觸到，也不會有嘗試的機會。

如果真的想改變台灣的教育，我認為至少要先確實做到已有的政策，像是早自習和第八節不能考試。但有幾所學校能夠確實落實呢？其實問題還是出在課綱和台灣的風氣，課綱就是這麼多，有多少課可以刪，沒有了多元課程，學生們一整天都要面對高壓的課程。另外還有台灣的教育風氣，幾乎人人都補習，補到九點十點才回家，當然會睡不夠。如果課綱還是這麼多，多數家長的觀念還是不改，那應該什麼東西都很難改。",2025-09-14 00:08:17,贊成論點,0,1
M-38,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,Wayne,日本大部分高中的上學時間是9.-2.然而我們卻是那麼早⋯⋯,2025-09-14 00:28:10,其他想法,26,1
M-39,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,Wang,根本沒有意義，台灣的教育從以前到現在都是7：30～16：00，也沒有因為睡不飽出過事情，不管改多晚時間上課學生永遠在抱怨睡不飽，延長上課時間可以，上學時間延長多久放學就要延長多久，請問提議著你願意嗎？,2025-09-14 00:34:17,贊成論點,5,7
M-40,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,schooltimechangeplz,我覺得台灣的教育制度太誇張了有些同學家裡可能住比較遠回到家可能就8點甚至是9點那他們的吃飯時間呢還有這樣子可能還有人要上補習班那這樣子不是也不太好,2025-09-14 00:41:23,其他想法,2,0
M-41,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,肉包,六點起床真的太早了 平常補習老師加課加到10點多 回家大概就快半夜了 早上還要頂著精神去上課 下課十分鐘也休息不了 午休時間更短 聽著45分鐘的課 下課才短短幾分鐘 而且有些主科交的東西確定出社會會用到嗎 還要教育部明確規定第八節、早自習不能考試 有多少老師沒做到 功課一大堆就算了考試也一堆,2025-09-14 00:42:30,其他想法,17,1
M-42,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,只是一位國二生,"我支持10.到16.上課 
因為這樣比較符合學生的作息 
不會每天都累得要死
多一點睡眠 學習才有效率 
還能有時間探索「興趣」
 就像歐美國家教學方式那樣
也不是一定要完全一樣 就希望可以讓學生找到自己的興趣 喜歡的事物
不只是被國英數社自英綁住
而是能真的學會思考跟生活==",2025-09-14 00:47:01,其他想法,26,6
M-43,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,小嘎,"真的不要耶，這樣一週就要減少10個科目，那怎麼解決呢？答案就是文中寫的「減少非必要多元課程」，但10節課耶，到時候全部都給你剪掉，到時候就有得哭了。
我的覺得是8:30上課，然後將多元課程換成「自行選科」模式，然後可能沒人至少要選幾科之類的，既能保障上課時長，又不必選一些自己不喜歡的科目。",2025-09-14 00:49:01,贊成論點,1,2
M-44,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,Ｙ,台灣想學美式教育，又想保留中式教育，這樣的結果直接導致學生累死。即便高中生改為8點上課，但學校校車很早就來了，依舊要6點起床，然而5點放學後還要補習，回到家還要讀書，12點睡都算早了，學生壓力及健康，是政府需要特別關注的話題。同意改為10點上課。,2025-09-14 00:49:46,其他想法,90,8
M-45,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,：）,很多反對的在說進度問題，但國高中有多少是廢課？課綱改得看似越來越簡單，但現在的升學管道，變得學生不能只考成績來決定，要學美式教育，又學不全，保留中式教育，又在那邊刪刪改改，學生為什麼會累死，更大的原因是課綱問題，老實說改變上課時間確實沒什麼用，但對於我們學生來說，除了政府願意調整，不然我們也只能靠多一點的睡眠來面對這個爛課綱。,2025-09-14 00:58:47,其他想法,37,1
M-46,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,林,"有人說沒有意義，說什麼學測會考怎麼辦
為什麼要把自己完全困在學習的框架？
有沒有想過有些課根本沒有必要
如果能多出那些時間反而能讓人去探索自己真正有興趣的事
有這種發言代表台灣的學生已經有被洗腦的傾向
並不是人生只有讀書才會成功
為了學測為了會考失去健康失去快樂失去青春
真的是台灣學生想要的嗎
台灣已經是全世界學習時數最長的國家了
每個人的興趣專長不同
為什麼要逼擅長游泳的魚爬樹？
為什麼要逼擅長爬樹的猿猴跑步？
我認為讓每個學生找的自己真正的方向才是重要的
這樣的制度這樣的文化只會埋沒真正有能力的人
如果你要說制度已經形成了你只能遵守
那你讀書的意義是什麼？
成為學習機器嗎？
多少孩子因為這制度埋沒了夢想及才能
身為台灣的未來這制度當然是由我們改變
一味的遵守這陋習
並不是你讀書的意義
台灣的學生們請好好利用至今所學吧
未來是我們自己創造的
不合理的制度務必改革
加油",2025-09-14 01:02:02,贊成論點,38,8
M-47,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,采J,"贊成！
我家離學校有段距離，通勤大概一個半小時，上下課也是自己搭公車，所以不太會有配合家長上下班的問題。我每天最晚5：40就要起床，先搭公車到中港路上才有公車能去學校，回家也是7點多了，一天24小時有接近13小時不在家。因為我是一放學馬上回家，所以晚餐也是回家解決，煮完+吃完晚餐都8點半，甚至9點了，有時候為了早起有精神，吃完飯、洗個澡就直接睡覺了，根本沒時間再讀書。才開學沒幾天，身體就有點吃不消，常常上課上到頭暈頭痛。有考慮過住宿，但學校宿舍名額有限。真的希望可以讓我睡飽一點再去上課，沒精神的情況下上課，根本聽不進去，學不到什麼。",2025-09-14 01:07:27,其他想法,1,0
M-48,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,陳,本人普高，每天累成狗，狗都睡的比我多,2025-09-14 01:12:42,其他想法,94,8
M-49,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,xun,非常贊同⋯國高中生一天睡不到6小時 真的很累 尤其是離學校比較遠很早就要起床搭車,2025-09-14 01:14:47,其他想法,82,4
M-50,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,Larry,"多元課程其實還蠻不錯的 
第一如果是高中高職 學分穩穩拿比一般科目好
第二可以多學學不同的領域
第三沒有多元課程只是讓國英數更多而已 你想嗎？
還有通勤問題 很以偏概全 
上課上六小時 中間午休一小時 五小時能上什麼 這樣體育那些是不是也要全面廢掉 全部留國英數",2025-09-14 01:22:05,其他想法,22,20
M-51,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,Eian,"更動上課時間，是影響整個教育體系的行為，這提案本人不支持。

上課期間只有短短6小時，依據現在108課綱，考科的課程已經非常吃緊了，學校連早自習、第8節，甚至連多元學習課程，這些額外的時間，有時都需要拿來上考科的。按照提議者想法，這是幾乎不可能仔細教完會考、學測範圍的。

會考、學測都是需要大量的有效學習、複習，你連考科都沒學好，甚至還沒有教過，怎麼可能上理想學校，這不就擺明要讓學生去補習班嗎。

修改後，補習班為了彌補學校的不足，及加強對課本的印象，種種加起來，學校6小時加上補習班時數，肯定跟修改前差不多，這會導致學生的睡眠時間不但沒有改善，反而作息更不規律。
舉例：「從原本國小持續6年的9：30睡，7：30起；改變成11：30睡，9：30起。」只是延後上床睡覺，睡眠時間根本沒有增加。

你要修改上課時間，就應該有其他配套措施，且考慮當前的教育情況，而非單純提出修改上課時間，這提案漏洞百出，需要改進。",2025-09-14 01:34:45,贊成論點,18,10
M-52,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,法器,可能改成10.大家會很擔心課上不完一直趕課的事情 課上不完就重新分配課表 改課綱 美式教育美式教育美式教育 重要的事情說三遍,2025-09-14 01:37:26,其他想法,13,1
M-53,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,kopq,"我是高中生，我認為就現階段而言，此提案過於空泛以及忽略了真正的問題。

以一般未補習的高等中學學生舉例，第一堂課開始是早上8點10分（假設8點時到校），放學時間是下午4點，若是通勤時間共兩小時以及早上梳妝早餐時間三十分鐘，那麼每天從起床與放學回家的時間點可以簡略估算為早上6點30分與下午5點，若是要維持十小時睡眠則需要在下午8點30分入睡，共三小時可以吃晚餐、處理作業、預複習、洗澡、娛樂等等。

事實上如果說今天學生不用在課業上花那麼多心力，絕對是有辦法在三小時內處理完問題的。

所以問題其實是學生所面臨的升學壓力，這才是問題的主要因素，就算強制調動了課表時間，實務上治標不治本。

並且想請問何謂「非必要多元課程」，事實上，多元課程雖為分考科，但不能因此否定其重要性。",2025-09-14 01:40:43,贊成論點,12,5
M-54,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,☁️,"其實我覺得真正要去掉的是補習班
沒有補習班真的會好100倍",2025-09-14 01:47:41,贊成論點,63,4
M-55,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,青櫻,"我高三 我反對。
改成這樣課怎麼上啊？
還有 最根本睡眠不足的原因真的是上課時長嗎，不一定吧",2025-09-14 01:53:26,贊成論點,33,24
M-56,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,Lin,有更多時間可以拿來運用就可以有充足的睡眠 也減少學生健康下降的情況,2025-09-14 01:55:25,其他想法,8,0
M-57,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,Klen.07,使用者已自行刪除留言,2025-09-14 02:01:52,其他想法,0,0
M-58,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,Klen.07,此留言正在等待審核中,2025-09-14 02:02:59,贊成論點,25,52
M-59,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,BIO,"我是覺得 國中 可以改8:30 高中改9:30
這樣會正常些 課還是都能上到
也不會到太累 然後放學改3:30之類的",2025-09-14 02:03:53,其他想法,70,7
M-60,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,大調查,冠緯1mao6,2025-09-14 02:22:04,贊成論點,0,1
M-61,國高中上課時間改為10:00到16:00，避免慢性睡眠剝奪導致學生憂鬱、自傷自殺風險提升。,/idea/detail/45e4b677-19d5-4b48-b1da-1afe3000a878,xyz,"不是很明白在其他想法中
提出反對意見的怎麼基本上倒讚比讚多
是素質太優秀？
還是因為沒有贊同你們
就因為這些論點沒有更多的時間給你們熬夜？
而且就以過去的案例來看好了
延後到8.10上課
雖然只有半小時左右
但有多少人是修改前後都同個時間睡覺的
大部分都是吧這多的半小時拿去用在熬夜上了吧
所以像這個提案 延到10.上課
不就是多2個小時熬夜
有提升什麼睡眠品質嗎
或是說會有多少人會把這多的時間睡滿呢，
並且此提案有去考慮到居住地偏遠所以還是需要家長接送的人嗎？或是特殊生？
所以與其去修改這些看起來會有改善實則沒什麼變的
不如去想想造就這些的原因是什麼再去提案修改吧",2025-09-14 02:33:38,贊成論點,6,6
